Regional Name,Year,# Taxa,Score,Recommendation,Notes,Downloaded?,FQA Name in App,Citation,Download Notes,Link,Summary
"Appalachian Mtn (EPA Ecoregions 66,67,68,69)  2013",2013,3831,5,YES,Wetlands Only,YES-online,appalachian_mountains_2013,"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants
Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA.",https://www.ncwetlands.org/project/coefficient_conservatism/,,Reviewed
Atlantic Coastal Pine Barrens (8.5.4) 2018,2018,2094,4,"Yes, with reservations",NA,YES-Universal FQA,atlantic_coastal_pine_barrens_2018,"Faber-Langendoen, D., Cameron, D., Gilman, A. V., Metzler, K. J., Ring, R. M., & Sneddon, L. (2019). Development of an Ecoregional Floristic Quality Assessment Method for the Northeastern United States. Northeastern Naturalist, 26(3), 593-608.",2021 version on Universal FQA calculator,,Rec with reservations
Chicago Region USACE 2017,2017,3171,5,YES,NA,YES-Robbie,chicago_region_2017,"Herman, B., Sliwinski, R. and S. Whitaker. 2017. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL.",,,
"Coastal Plain of the Southeast (EPA Ecoregions 63,65) 2013",2013,4632,5,YES,Wetlands Only,YES-online,coastal_plain_southeast_2013,"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA.",https://www.ncwetlands.org/project/coefficient_conservatism/,,
Colorado Floristic Quality Assessment Indices 2020,2020,3375,5,YES,NA,YES-online,colorado_2020,"Smith, P., G. Doyle, and J. Lemly. 2020. Revision of Colorado’s Floristic Quality Assessment
Indices. Colorado Natural Heritage Program, Colorado State University, Fort Collins, Colorado.",,https://cnhp.colostate.edu/cwic/tools/calculator/,
"Dakotas (excluding the Black Hills) 2001, 2017*",2017,1558,1,Previously Certified,NA,YES-Universal FQA,dakotas_excluding_black_hills_2017,"The Northern Great Plains Floristic Quality Assessment Panel. 2001. Coefficients of conservatism for the vascular flora of the Dakotas and adjacent grasslands. U.S. Geological Survey, Biological Resources Division, Information and Technology Report USGS/BRD/ITR-2001-0001, 32 p.",,,
Delaware 2013 ,2013,2306,5,"Yes, with reservations",NA,YES-Universal FQA,delaware_2013,"Chamberlain, S. J., & Ingram, H. M. (2012). Developing coefficients of conservatism to advance floristic quality assessment in the Mid-Atlantic region. The Journal of the Torrey Botanical Society, 139(4), 416-427.",,,
Eastern Great Lakes and Hudson Lowlands (8.1.1) 2018,2018,3206,5,YES,Wetlands Only,YES-Universal FQA,eastern_great_lakes_hudson_lowlands_2018,"Faber-Langendoen, D., Cameron, D., Gilman, A. V., Metzler, K. J., Ring, R. M., & Sneddon, L. (2019). Development of an Ecoregional Floristic Quality Assessment Method for the Northeastern United States. Northeastern Naturalist, 26(3), 593-608.",,,
Florida 2011,2011,850,5,YES,Marsh Habitat,YES-online,florida_2011,"Cohen, M. J., Carstenn, S., & Lane, C. R. (2004). Floristic quality indices for biotic assessment of depressional marsh condition in Florida. Ecological Applications, 14(3), 784-794.",no acronym,https://floridadep.gov/dear/quality-assurance/content/dep-sops,
Florida-South 2009,2009,1340,5,YES,Excluding the Keys,YES-online,florida_south_2009,"Mortellaro, S., Barry, M., Gann, G., Zahina, J., Channon, S., Hilsenbeck, C., Scofield, D., Wilder, G., & Wilhem, G. (2009). Coefficients of conservatism values and the floristic quality index for the vascular plants of South Florida. South Florida Ecological Services Field Office, Vero Beach, Florida, pp78.",,,
"Illinois 1997, 2020",2020,3040,5,YES,NA,YES-Universal FQA,illinois_2020,"Taft, J. B., Wilhelm, G. S., Ladd, D. M., & Masters, L. A. 1997. Floristic quality assessment for vegetation in Illinois, a method for assessing vegetation integrity. Westville: Illinois Native Plant Society.",Downloaded 2020 version only,,
"Indiana 2004, 2019",2019,2821,5,YES,NA,YES-Universal FQA,indiana_2019,"Rothrock, P.E. 2004. Floristic quality assessment in Indiana: The concept,use, and development of coefficients of conservatism. Final Report for ARN A305-4-53, EPAWetland Program Development Grant CD975586-01.",downloaded 2019 version only,,
"Interior Plateau (EPA Ecoregions 70,71,72) 2013",2013,3473,5,YES,Wetlands Only,YES-online,interior_plateau_2013,"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA.",https://www.ncwetlands.org/project/coefficient_conservatism/,,
Iowa 2001 ,2001,1963,5,YES,NA,YES-Universal FQA,iowa_2001,"McMullen, C. M., & Farrar, D. (2004). Floristic Quality Assessment and Mitigation Recommendations, Worle Creek Riparian Corridor, 500 th St. to State Ave., Ames, IA. Draft Report to Stanley Consultants 100 Court Ave.",,,
Kansas 2014*,2014,2306,1,Previously Certified,NA,YES-Universal FQA,kansas_2014,"Freeman, Craig C. 2014. Coefficients of conservatism for Kansas vascular plants and selected life history attributed. Kansas Biological Survey and R.L. McGregor Herbarium, University of Kansas.",,,
